note,current_folder,proposed_folder,confidence,reason
2026-07-06.md,(root),Reference,0.47,fallback-reference
Apple Notes/%Tuesday@654321!.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/(.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/(Updated 7.01.15) Call 6th of January (open Actions FOCiS) - Points….md,Apple Notes,Projects,0.73,"keywords=delivery,project"
"Apple Notes/+ Picket, ful 1th.md",Apple Notes,Reference,0.47,fallback-reference
Apple Notes/+Axel Uhl.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/+Bett-kissenJP.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/- Limath-kundeentwicklerny.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/-.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/-cs (narie).md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/.md.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/0.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/0x7b1D87632a560eCCF57de8358ABe9e7512375eD1.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/1 woche (raphi).md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/1) What me Done.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/1) repart XLS, and for teamleals-cadinc(as global data. only DA.md",Apple Notes,Reference,0.47,fallback-reference
Apple Notes/1. Hän Dir für Amelie Drittbetreuungskosten (Tagi oder Mittagstisch….md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/10 Johr.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/10 MinMove to room.md,Apple Notes,Meetings,0.65,keywords=workshop
Apple Notes/100269638.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/11 Artur 07.02.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/11 Banas -JP 06.06.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/11 Daniel.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/11 Victor.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/11 caroline 18.07.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/11 caroline 26.09.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/11 dani jp 16.08.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/1st RCEO Call - CW1.md,Apple Notes,Projects,0.53,keywords=project
Apple Notes/20.06 - absaliss.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/25 Jahre in Transport und Logistik. 12 Jahre in globalen operationellen….md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/2x soul burger.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/3 options.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/3 wichtigste Erfahrungen - Mehrwert.md,Apple Notes,Projects,0.73,"keywords=delivery,project"
Apple Notes/3BZ''.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/3a.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/4.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/4x.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/725 ic61 gl 4.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/730-0030 2h ___.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/A Construction Colin Hasten- New Catas Scheiremen.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/A Difficult Decision with a Positive Outlook and Gratitude.md,Apple Notes,Personal,0.65,keywords=personal
Apple Notes/ANR Training with Filippo.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/AP CALLs Tanja, and Workflow Nikil.md",Apple Notes,Meetings,0.61,"keywords=meeting,minutes"
Apple Notes/AWK.md,Apple Notes,Customers,0.61,"keywords=account,customer"
Apple Notes/AWKEINFOLMSFAG@4.6.ZZ.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Accounting desk.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Add Caroline to ubs.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Adecco - Syngenta notes.md,Apple Notes,Ideas,0.73,"keywords=concept,idea"
Apple Notes/Af of pcc 18.03.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Agenda Steven W..md,Apple Notes,Meetings,0.65,keywords=agenda
Apple Notes/Albion Intro - Colm.md,Apple Notes,AI,0.65,keywords=ai
Apple Notes/Alts to dca in new.md,Apple Notes,Personal,0.53,keywords=health
Apple Notes/Amazing tea walk.md,Apple Notes,Reference,0.65,keywords=guide
Apple Notes/Amazon.md,Apple Notes,Customers,0.85,"keywords=customer,stakeholder"
Apple Notes/Amelie toy.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Ana buk 24.05.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Anand Xavier - API Discussion.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Andrees.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Andrew Rushusu- Quality.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Aniko BUK 25.04.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Anouï.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Applications.md,Apple Notes,DPWorld,0.93,"keywords=cargo,dp,logistics"
Apple Notes/Apply and check.md,Apple Notes,Projects,0.53,keywords=project
Apple Notes/Aproz.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Artur 11 -.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Artur HR - 1+2 - 2.05.23.md,Apple Notes,Projects,0.65,keywords=plan
Apple Notes/Artur Performance Review.md,Apple Notes,Projects,0.65,keywords=plan
Apple Notes/Artur.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/As the PL and product I have to make you aware.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Asdf a.md,Apple Notes,Projects,0.65,keywords=plan
Apple Notes/Atkigh.FeS..md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Aw perf 08.06.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Awesome Day.md,Apple Notes,Personal,0.65,keywords=family
Apple Notes/Axa customer.md,Apple Notes,Customers,0.65,keywords=customer
Apple Notes/ÂMELIEOE.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/B Besprechen Raphi Stunden.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/BPO.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/BUS.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Baiersdorf.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Basak.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Base savings calculation.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Basstrap.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Beef bacon burger (without tomato and reliah).md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Beerdigung.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Beetroot carpaccio with soy with a rice cyrcel.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/Begrüssung,.md",Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Bewerbung.md,Apple Notes,Projects,0.53,keywords=project
Apple Notes/Beyond cgeesburger and fries.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Biberist Corix.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Binder.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Body Language for Leaders.md,Apple Notes,Meetings,0.53,keywords=meeting
