note,current_folder,proposed_folder,confidence,reason
Apple Notes/DP World/Excellence Topics/Pay Cargo (notes).md,Apple Notes,DPWorld,0.99,"keywords=cargo,dp,port,terminal"
Apple Notes/DP World Logistics Germany B.V. & Co. KG.md,Apple Notes,DPWorld,0.99,"keywords=dp,dpworld,logistics"
Apple Notes/Flexa History of Failure by Anouncement and Outcome.md,Apple Notes,Projects,0.99,"keywords=launch,plan,roadmap"
Apple Notes/Global downhill recording.md,Apple Notes,DPWorld,0.99,"keywords=cargo,dp,logistics,port"
Apple Notes/Leading during Times of Change.md,Apple Notes,Personal,0.99,"keywords=habit,journal,life,personal"
"Apple Notes/Old & Admin/1A MBA RKC/UN Ethis, Responability and Sustainability/Unit 1 Pre-Residency Materials/Readings Articles.md",Apple Notes,Personal,0.99,"keywords=family,journal,life,personal"
"Apple Notes/Old & Admin/1A MBA RKC/UN Ethis, Responability and Sustainability/Unit 3 EBP Partn-Leader/Ackroyd & Harvey Beuys', 2007, Acorns, onwards mixed media. Courtesy….md",Apple Notes,Personal,0.99,"keywords=journal,life,personal"
Apple Notes/Old & Admin/Agility Notes/Diverse/Imp Team Update - Sven NPC.md,Apple Notes,Meetings,0.99,"keywords=agenda,meeting,workshop"
Apple Notes/Old & Admin/Agility Notes/Diverse/MDM update (Thursday) Karl - STC June Baar.md,Apple Notes,Customers,0.99,"keywords=client,customer,stakeholder"
Apple Notes/Old & Admin/Agility Notes/FOCiS/User Engagemetn/6_UE Explanations_v1.3_23.09.2016.ppt.md,Apple Notes,Meetings,0.99,"keywords=agenda,meeting,minutes"
Apple Notes/Vikas Garikipati (Cargoes TMS).md,Apple Notes,DPWorld,0.99,"keywords=cargo,port,terminal"
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Pay Cargo (notes).md,JP Obsidian Vault,DPWorld,0.99,"keywords=cargo,dp,port,terminal"
JP Obsidian Vault/Apple Notes/DP World Logistics Germany B.V. & Co. KG.md,JP Obsidian Vault,DPWorld,0.99,"keywords=dp,dpworld,logistics"
JP Obsidian Vault/Apple Notes/Flexa History of Failure by Anouncement and Outcome.md,JP Obsidian Vault,Projects,0.99,"keywords=launch,plan,roadmap"
JP Obsidian Vault/Apple Notes/Global downhill recording.md,JP Obsidian Vault,DPWorld,0.99,"keywords=cargo,dp,logistics,port"
